PRINT-SPACINGS

/data/ryle/CYGNUSX1-990913/s15


 CYGNUSX1-990913  centred on  CYGNUS-X1                                         
 Merge of all spacings from AE 1-5/1-5                                          
 Samples From:    1   ST: 17.40.08   UT: 18.10   LSF buffer:    1               
           To: 1788   ST: 21.59.44   UT: 22.29   LSF buffer: 1788               

 Modified Julian date 51434.00  at 0h on 13 Sep 99

      ST         UT        cos            sin            amp        phase
17.40.08   18.10.57   -0.30697E-01   -0.18859E-01    0.36028E-01   -148.4
17.40.16   18.11.05    0.13255E-02    0.15013E-01    0.15072E-01     85.0
17.40.24   18.11.12    0.11716E-01    0.48110E-02    0.12665E-01     22.3
17.40.32   18.11.20    0.13388E-01   -0.69342E-02    0.15077E-01    -27.4
17.40.40   18.11.28    0.75955E-02   -0.76959E-02    0.10813E-01    -45.4
17.40.48   18.11.36    0.88401E-02   -0.26405E-02    0.92261E-02    -16.6
17.40.56   18.11.44    0.31178E-02    0.66670E-02    0.73600E-02     64.9
17.41.04   18.11.52   -0.23536E-03   -0.10865E-01    0.10867E-01    -91.2
17.41.12   18.12.00   -0.12303E-01    0.76394E-02    0.14482E-01    148.2
17.41.20   18.12.08    0.75135E-02    0.71958E-02    0.10403E-01     43.8
17.41.28   18.12.16    0.98808E-02   -0.67761E-02    0.11981E-01    -34.4
17.41.36   18.12.24    0.43597E-02    0.29513E-02    0.52647E-02     34.1
17.41.44   18.12.32    0.49349E-02   -0.42229E-02    0.64951E-02    -40.6
17.41.52   18.12.40   -0.75275E-02   -0.10643E-03    0.75283E-02   -179.2
17.42.00   18.12.48    0.26728E-01    0.49538E-03    0.26732E-01      1.1
17.42.08   18.12.56    0.72513E-02   -0.24867E-01    0.25902E-01    -73.7
17.42.16   18.13.04   -0.68180E-02   -0.19006E-01    0.20192E-01   -109.7
17.42.24   18.13.12   -0.41937E-02    0.57518E-02    0.71183E-02    126.1
17.42.32   18.13.20    0.11798E-01    0.84332E-02    0.14502E-01     35.6
17.42.40   18.13.28    0.14740E-01    0.10633E-01    0.18175E-01     35.8
17.42.48   18.13.36   -0.20706E-03    0.78930E-02    0.78957E-02     91.5
17.42.56   18.13.44    0.37071E-02   -0.99315E-04    0.37084E-02     -1.5
17.43.04   18.13.52    0.20544E-01   -0.70672E-02    0.21726E-01    -19.0
17.43.12   18.14.00    0.18479E-02    0.88637E-02    0.90543E-02     78.2
17.43.20   18.14.08   -0.19901E-03   -0.11143E-01    0.11144E-01    -91.0
17.43.28   18.14.16    0.17221E-01   -0.12632E-01    0.21357E-01    -36.3
17.43.36   18.14.24    0.36195E-02    0.63657E-02    0.73227E-02     60.4
17.43.44   18.14.32    0.32244E-02   -0.14953E-01    0.15297E-01    -77.8
17.43.52   18.14.40    0.75387E-02    0.40488E-02    0.85572E-02     28.2
17.44.00   18.14.48    0.98456E-02   -0.22400E-02    0.10097E-01    -12.8
17.44.08   18.14.56    0.11821E-01   -0.11007E-01    0.16152E-01    -43.0
17.44.16   18.15.04   -0.50393E-02    0.11008E-02    0.51581E-02    167.7
17.44.24   18.15.12    0.40237E-02   -0.10085E-01    0.10858E-01    -68.2
17.44.32   18.15.20   -0.63304E-02   -0.26864E-02    0.68768E-02   -157.0
17.44.40   18.15.28    0.14030E-01    0.36359E-02    0.14494E-01     14.5
17.44.48   18.15.36    0.53233E-02    0.12641E-02    0.54713E-02     13.4
17.44.56   18.15.44   -0.10881E-01   -0.75615E-02    0.13251E-01   -145.2
17.45.04   18.15.52    0.20585E-02   -0.11938E-02    0.23796E-02    -30.1
17.45.12   18.16.00    0.77835E-02   -0.35359E-02    0.85490E-02    -24.4
17.45.20   18.16.08    0.82019E-02    0.17755E-01    0.19558E-01     65.2
17.45.28   18.16.16   -0.13813E-02   -0.61680E-02    0.63208E-02   -102.6
17.45.36   18.16.24    0.17745E-01    0.11684E-01    0.21247E-01     33.4
17.45.44   18.16.32    0.18197E-01   -0.19638E-01    0.26773E-01    -47.2
17.45.52   18.16.40   -0.65868E-02   -0.47571E-02    0.81250E-02   -144.2
17.46.00   18.16.48   -0.69691E-02    0.23972E-02    0.73698E-02    161.0
